TakingPill AcX AcY AcZ GyX GyY GyZ
0 -744 1848 -17284 -326 -74 -288
0 -664 1912 -17136 -370 -79 -298
0 -628 1844 -17420 -355 -101 -276
0 -784 1928 -17340 -357 -104 -299
0 -760 2032 -17252 -340 -85 -317
0 -712 1820 -17176 -304 -53 -287
0 -600 1944 -17336 -391 -105 -297
0 -648 1984 -17348 -358 -118 -284
0 -800 1932 -17876 -2375 -809 537
0 -596 1468 -17360 2234 1519 4190
0 888 652 -16388 2462 2859 2241
0 -1504 1208 -20008 3118 2609 2032
0 2700 -920 -17360 4317 958 2044
0 1492 -1368 -18256 6932 7393 2189
0 -812 1116 -15036 5346 1249 1340
0 -24 2180 -16636 -3891 -6940 10297
0 2332 -1316 -14900 -3833 3393 1336
0 3220 4268 -17812 -6235 -835 381
0 1172 -936 -18256 3533 -4412 3266
0 -768 -1564 -16400 -1098 -547 -1761
0 2792 296 -16744 -5938 2043 -274
0 1908 1256 -16800 991 -394 -2880
0 1888 904 -15476 -2005 -540 -56
0 452 1448 -18612 1316 867 -3489
0 -1680 488 -18800 -1131 -1581 -578
0 3092 164 -16752 -206 -655 3301
0 724 560 -17532 1809 -2246 1062
0 1184 1352 -17912 2391 2685 -7137
0 -1028 -1296 -17924 -3902 -660 3324
0 516 1088 -18844 -74 -1579 182
0 -60 472 -16692 -1094 1119 -1251
0 1208 2096 -17516 -2932 -516 1509
0 1368 1392 -17968 -2437 1822 -1230
0 4048 2644 -15800 -2437 1266 -333
0 1876 624 -17908 -889 2010 541
0 384 1692 -16660 3463 1677 -2373
0 -496 1644 -17432 1051 710 388
0 612 1584 -19748 2701 -3604 378
0 -160 1696 -18764 122 -2203 -1766
0 868 600 -17312 998 -4059 -1251
0 2420 1920 -16340 -2803 1962 -2630
0 2072 1252 -15388 175 -97 -1474
0 996 1324 -16160 3472 377 -4560
0 900 -96 -16380 2200 2272 -4029
0 -496 -2236 -18244 6690 125 -4389
0 3128 1304 -19524 4315 -1188 -1897
0 1380 264 -17652 -473 183 -345
0 1016 -948 -16288 1892 -1980 -2278
0 -644 -2256 -17316 -3392 -403 -158
0 704 -236 -19048 -5386 793 1387
0 60 -708 -18528 -2512 905 -2268
0 56 -1420 -17264 -528 -662 -1404
0 1996 -380 -18336 -1111 1598 -1946
0 52 -832 -17904 -1318 903 374
0 1456 400 -18812 1086 1274 -3822
0 -28 -784 -15596 -340 -2376 -1279
0 620 500 -17512 -1677 -1389 -763
0 892 764 -16644 -2288 626 -547
0 2280 1384 -17036 -2415 265 401
0 560 -248 -16804 -2093 235 105
0 1400 444 -17368 -1352 1173 -1848
1 1188 392 -17152 1262 -1592 -1502
1 1176 40 -17268 1199 628 -2337
1 816 -260 -17372 4086 -1334 -3436
1 328 -1556 -17328 7172 -3134 -2856
1 1136 -1316 -18636 11031 -3870 -4528
1 -148 -4016 -17120 12200 -2443 -3762
1 -732 -3360 -20344 13215 -5914 -6780
1 -528 -5028 -15400 10357 -820 -4884
1 1740 -5680 -15472 6940 -3013 -3269
1 -400 -6948 -14528 6382 -3413 -3246
1 -536 -9316 -15444 7762 -2590 -2303
1 -652 -7696 -15432 7088 90 -1969
1 -1404 -10284 -13436 13001 -2642 -3296
1 -600 -11268 -12312 8231 -105 -2020
1 -396 -10548 -14512 9071 -3878 -4033
1 -484 -12192 -10128 3442 1247 -2874
1 -808 -12628 -12408 9470 -2815 -2060
1 1088 -13712 -10956 5851 656 -2536
1 388 -13796 -8672 9085 -2914 -2779
1 380 -14156 -9028 3102 830 -2640
1 288 -13428 -7688 4307 -646 -2022
1 696 -14032 -7940 -820 917 -2041
1 -132 -15708 -8400 2794 1680 538
1 264 -14664 -8288 2883 377 -1159
1 480 -18196 -5036 5746 -965 1943
1 2504 -12288 -8100 4437 -2581 335
1 -136 -18400 -1492 5974 -2145 -1367
1 1700 -12044 -8836 -727 252 2436
1 3696 -10888 -4840 -1627 -1312 -2393
1 -1164 -16816 -9284 -8476 4331 -1761
1 -2060 -15892 -7660 -1616 -424 3821
1 2456 -14612 -5876 7884 -5038 -4425
1 -6568 -19392 -8660 -3149 -1496 2364
1 6360 -9500 -8284 5959 -8808 5031
1 -2172 -14168 -8756 -4357 3517 -7351
1 -2236 -15848 -8564 3244 -3087 5888
1 1592 -11136 -6656 -5568 3669 -3511
1 -5784 -22652 -4580 1117 1759 924
1 -20 -13124 -13832 -4775 2059 3215
1 3888 -11128 -5632 3966 -7086 -31
1 -6568 -18468 -7348 1744 392 -7095
1 148 -14988 -4160 -1241 877 5133
1 5532 -8576 -12168 1346 -1601 -6482
1 -12296 -25448 -4044 1021 1003 4896
1 9816 -6252 -5140 289 987 57
1 -2440 -18452 -6284 -5094 3799 -5944
1 -3572 -20176 -7084 763 429 2784
1 6756 -8592 -7320 -2601 -704 -1515
1 -2844 -16572 -6812 -7527 2253 -1525
1 -4668 -20752 -7656 7908 -5425 2572
1 7232 -8300 -5124 -721 -1379 826
1 -2240 -14768 -11096 4156 -4872 -4134
1 -4092 -18656 -6364 -93 3999 5997
1 8056 -5604 -5512 -3654 1628 -1477
1 -10868 -23672 -9440 724 2219 2520
1 -4464 -15056 -9604 -4970 6033 3529
1 5792 -7064 -7140 2908 -6911 1465
1 -660 -15164 -6292 -5260 1521 -7246
1 -3572 -20232 -5740 1232 -1858 2561
1 4092 -9268 -7584 -3713 1291 5852
1 2084 -11440 -7308 -7202 3413 -8265
1 -7116 -24324 -8556 -7892 4809 1339
1 1576 -11556 -8876 -10149 8034 697
1 1640 -13360 -11240 -13433 6233 968
1 -1964 -16896 -11452 -5990 3622 2434
1 1476 -11180 -11164 -11256 5183 3130
1 -232 -12596 -14176 -12577 1727 3880
1 4 -12588 -12928 -10917 1503 3239
1 24 -8452 -13456 -9478 3177 2635
1 28 -9464 -12964 -9365 1534 1199
1 1988 -7140 -16536 -13065 4022 990
1 844 -6632 -16372 -12811 5607 685
1 -412 -7096 -14940 -10382 2368 1364
1 180 -5684 -16636 -6441 1869 3093
1 1160 -3732 -16780 -8426 5717 3462
1 1236 -1916 -18744 -12650 5052 3755
1 3372 -2172 -14732 -9527 3856 2893
1 1888 -784 -15400 -9561 1581 3498
1 1876 -512 -16492 -4071 -2450 3150
1 3576 184 -14248 -10267 2055 3402
1 3312 1608 -18196 1500 -2658 -297
1 4812 1904 -17176 1751 -5224 325
1 1172 1020 -19304 6274 -5960 -4076
0 1368 928 -18272 436 -146 -2162
0 -260 -220 -18548 -856 2599 -2619
0 2380 372 -17280 -444 -117 -1299
0 688 448 -18364 169 -160 -1319
0 2560 656 -16700 1401 145 -4146
0 716 36 -17680 3 424 -939
0 1880 1116 -18080 244 346 -1005
0 1456 436 -17640 -2282 1352 -146
0 1516 536 -17808 125 -789 -380
0 1224 64 -17200 -1868 87 -169
0 2216 1296 -17812 -2138 786 698
0 2052 416 -16948 -919 912 -675
0 2604 464 -17332 2761 206 -2379
0 1636 -324 -16912 5973 -1649 -3247
0 2044 100 -16852 4693 -288 -1952
0 1876 -1680 -18216 5705 -2460 -4425
0 880 -1132 -18068 4231 -1805 -3488
0 1824 -1448 -18908 4649 -1504 -4650
0 1676 -1636 -17088 2109 -965 -3162
0 2652 -2404 -16712 5309 -2501 -4208
1 1532 -2720 -16984 994 -468 -3089
1 -8 -4812 -15620 4438 -1608 -3976
1 1884 -4352 -17904 8077 -2491 -5026
1 -268 -6656 -15860 4028 -723 -2349
1 160 -5560 -18312 11367 -4169 -3738
1 -1736 -8668 -15132 9772 -886 -3731
1 180 -8432 -16732 12238 -5134 -4885
1 936 -9908 -13804 13093 -3807 -3849
1 2244 -10316 -13104 11422 -885 -4680
1 1028 -11572 -11808 11932 -1267 -3653
1 2220 -11332 -11832 6227 998 -2881
1 -76 -12328 -11808 9458 33 -3124
1 2336 -12812 -11148 7855 -45 -2927
1 144 -15548 -9384 6603 -1173 -947
1 420 -16004 -7516 11135 735 2187
1 1604 -13320 -6588 5898 1326 1357
1 3596 -13292 -7048 4031 -501 -2277
1 -312 -17364 -7648 2716 -1254 -753
1 1636 -14440 -4468 -1242 1108 3012
1 4076 -11408 -8964 6401 -3393 -2892
1 -2492 -20544 -4076 -893 2180 -2273
1 4644 -10900 -8084 -1738 -680 1104
1 1476 -18520 -1408 -490 1320 -3273
1 2208 -17284 -6332 6856 -4178 2846
1 5320 -12508 -1668 -1143 -535 -1336
1 -1000 -17372 -7200 -1371 928 -2868
1 1312 -16612 -7092 2438 -4295 6250
1 7568 -7796 -1220 -3531 -277 -3773
1 -6356 -30952 -6452 -11600 4307 2983
1 -540 -14984 -9860 -3349 2321 3036
1 7356 -9456 -6232 -3014 -1047 -860
1 -2248 -18124 -12496 4113 -2504 -4851
1 -1164 -15564 -4564 -6152 -793 12285
1 13728 688 -2276 8982 -3860 -12289
1 -13188 -32768 -2212 -1001 652 2041
1 2040 -11744 -8880 -5569 5447 3448
1 3536 -9836 -7680 -8276 1272 -2147
